59.70,60.02,59.50,59.89
59.89,61.22,59.80,60.99
60.99,61.96,60.84,61.73
61.73,61.84,60.77,60.99
60.99,61.17,57.50,57.69
57.69,57.90,55.42,55.48
55.48,55.71,54.52,54.75
54.75,55.17,54.54,55.12
55.12,56.76,55.05,56.59
56.59,56.96,56.38,56.95
56.95,57.70,56.86,57.69
57.69,58.20,57.66,58.05
58.05,58.98,57.97,58.79
58.79,59.38,58.62,59.16
59.16,59.18,57.81,58.05
58.05,58.19,57.29,57.32
57.32,57.38,55.65,55.85
55.85,56.01,54.36,54.38
54.38,56.79,54.22,56.59
56.59,59.03,56.37,58.79
58.79,59.89,58.74,59.89
59.89,60.35,59.75,60.26
60.26,61.80,60.22,61.73
61.73,62.58,61.62,62.46
62.46,62.63,60.42,60.63
60.63,61.39,60.61,61.36
61.36,61.87,61.26,61.73
61.73,62.28,61.60,62.10
62.10,63.68,61.99,63.57
63.57,64.43,63.56,64.30
64.30,65.64,64.17,65.40
65.40,66.66,65.39,66.51
66.51,66.75,65.56,65.77
65.77,65.84,64.19,64.30
64.30,68.85,64.21,68.71
68.71,68.85,67.60,67.61
67.61,67.85,67.20,67.24
67.24,68.38,67.08,68.34
68.34,69.52,68.24,69.45
69.45,70.92,69.30,70.92
70.92,70.94,67.48,67.61
67.61,67.65,58.17,58.42
58.42,58.56,57.59,57.69
57.69,58.64,57.57,58.42
58.42,60.64,58.19,60.63
60.63,65.20,60.51,65.04
65.04,65.09,64.87,65.04
65.04,65.16,64.98,65.04
65.04,65.05,63.80,64.04
64.04,66.18,63.83,66.14
66.14,67.07,65.97,66.87
66.87,67.83,66.87,67.61
67.61,69.45,67.46,69.45
69.45,69.46,64.85,65.04
65.04,68.90,64.79,68.71
68.71,68.74,68.58,68.71
68.71,69.26,68.50,69.08
69.08,69.32,68.66,68.71
68.71,68.72,67.85,67.98
67.98,68.01,67.85,67.98
67.98,68.19,66.13,66.14
66.14,66.29,61.22,61.36
61.36,61.51,60.97,60.99
60.99,61.06,59.84,59.89
59.89,59.99,59.12,59.16
59.16,59.29,57.88,58.05
58.05,58.12,57.29,57.32
57.32,57.71,57.18,57.69
57.69,58.55,57.67,58.42
58.42,58.60,57.97,58.05
58.05,58.25,58.01,58.05
58.05,58.52,57.93,58.42
58.42,58.43,58.28,58.42
58.42,58.87,58.26,58.79
58.79,58.87,58.72,58.79
58.79,58.86,58.77,58.79
58.79,58.95,58.69,58.79
58.79,62.22,58.66,62.10
62.10,65.54,62.00,65.40
65.40,67.74,65.17,67.61
67.61,67.85,67.09,67.24
67.24,67.45,66.11,66.14
66.14,66.22,65.69,65.77
65.77,67.71,65.72,67.61
67.61,67.85,67.13,67.24
67.24,68.01,67.24,67.98
67.98,69.91,67.76,69.81
69.81,70.04,68.14,68.34
68.34,68.36,68.15,68.34
68.34,68.42,66.48,66.51
66.51,66.70,64.66,64.67
64.67,64.79,63.82,63.93
63.93,64.15,62.99,63.20
63.20,63.74,63.03,63.57
63.57,63.73,62.60,62.83
62.83,63.07,61.98,62.10
62.10,62.14,62.04,62.10
62.10,63.04,61.95,62.83
62.83,63.71,62.63,63.57
63.57,63.79,61.52,61.73
61.73,61.87,60.14,60.26
60.26,61.97,60.25,61.73
61.73,63.72,61.49,63.57
63.57,63.98,63.46,63.93
63.93,64.05,63.34,63.57
63.57,63.64,63.49,63.57
63.57,63.58,63.00,63.20
63.20,63.33,63.17,63.20
63.20,63.34,63.04,63.20
63.20,63.29,62.78,62.83
62.83,63.02,61.94,62.10
62.10,62.27,62.05,62.10
62.10,62.13,61.99,62.10
62.10,62.13,61.63,61.73
61.73,61.88,60.03,60.26
60.26,60.49,56.07,56.22
56.22,56.34,53.64,53.65
53.65,53.82,52.11,52.18
52.18,52.25,52.04,52.18
52.18,52.29,51.99,52.18
52.18,52.24,52.00,52.18
52.18,52.40,52.13,52.18
52.18,52.32,52.11,52.18
52.18,52.20,52.09,52.18
52.18,52.40,52.15,52.18
52.18,52.26,52.11,52.18
52.18,52.70,51.98,52.54
52.54,54.05,52.38,54.01
54.01,56.32,53.80,56.22
56.22,59.03,56.17,58.79
58.79,61.03,58.73,60.99
60.99,63.43,60.80,63.20
63.20,63.82,63.10,63.57
63.57,63.64,63.33,63.57
63.57,63.62,62.72,62.83
62.83,63.01,62.22,62.46
62.46,63.37,62.41,63.20
63.20,63.44,61.11,61.36
61.36,61.45,61.14,61.36
61.36,61.52,60.98,60.99
60.99,61.10,60.99,60.99
60.99,61.09,60.09,60.26
60.26,60.32,60.01,60.26
60.26,60.43,59.74,59.89
59.89,60.13,59.83,59.89
59.89,60.03,59.82,59.89
59.89,59.94,59.71,59.89
59.89,60.33,59.72,60.26
60.26,60.43,60.15,60.26
60.26,60.26,59.65,59.89
59.89,60.31,59.66,60.26
60.26,62.26,60.05,62.10
62.10,76.09,61.86,76.06
76.06,87.51,75.87,87.45
87.45,89.05,87.21,88.92
88.92,103.07,88.71,102.88
102.88,108.42,102.77,108.39
108.39,108.39,98.65,98.84
98.84,98.87,98.32,98.47
98.47,101.11,98.42,101.05
101.05,102.36,100.88,102.15
102.15,108.44,101.93,108.39
108.39,114.75,108.32,114.64
114.64,192.57,114.40,192.54
192.54,192.70,189.48,189.60
189.60,189.74,182.23,182.25
182.25,182.37,181.67,181.88
181.88,199.75,181.66,199.52
199.52,213.71,199.29,213.48
213.48,220.62,213.26,220.46
220.46,220.49,190.55,190.70
190.70,190.70,162.04,162.04
162.04,162.11,141.29,141.46
141.46,155.98,141.30,155.79
155.79,169.24,155.70,169.02
169.02,169.12,167.49,167.55
167.55,170.68,167.34,170.49
170.49,192.36,170.32,192.17
192.17,192.38,187.15,187.39
187.39,187.41,185.87,185.92
185.92,186.07,164.06,164.24
164.24,164.39,153.20,153.22
153.22,153.37,147.26,147.34
147.34,147.56,140.31,140.36
140.36,140.49,131.39,131.54
131.54,131.75,127.00,127.13
127.13,145.22,126.93,145.14
145.14,162.78,144.98,162.77
162.77,165.84,162.68,165.71
165.71,165.92,161.49,161.67
161.67,161.83,146.88,146.97
146.97,147.01,142.32,142.57
142.57,143.87,142.39,143.67
143.67,152.87,143.63,152.85
152.85,153.05,152.26,152.49
152.49,152.71,145.48,145.50
145.50,145.63,141.65,141.83
141.83,146.44,141.64,146.24
146.24,146.39,142.05,142.20
142.20,142.26,126.39,126.40
126.40,126.42,119.59,119.78
119.78,119.87,111.29,111.33
111.33,111.53,106.50,106.56
106.56,106.65,106.17,106.19
106.19,108.82,105.98,108.76
108.76,110.68,108.52,110.60
110.60,110.81,106.90,106.92
106.92,107.12,102.08,102.15
102.15,102.35,94.78,94.80
94.80,94.86,92.85,92.96
92.96,96.87,92.86,96.64
96.64,96.77,95.42,95.53
95.53,100.01,95.38,99.94
99.94,104.00,99.80,103.98
103.98,111.71,103.88,111.70
111.70,114.71,111.58,114.64
114.64,114.80,114.15,114.27
114.27,115.95,114.18,115.74
115.74,124.41,115.53,124.19
124.19,131.04,124.01,130.81
130.81,131.02,124.40,124.56
124.56,126.51,124.47,126.40
126.40,127.19,126.31,127.13
127.13,127.54,126.93,127.50
127.50,130.90,127.30,130.81
130.81,137.47,130.78,137.42
137.42,137.94,137.19,137.79
137.79,137.83,136.31,136.32
136.32,137.81,136.18,137.79
137.79,140.51,137.78,140.36
140.36,140.44,139.78,139.99
139.99,140.22,139.87,139.99
139.99,143.35,139.80,143.30
143.30,167.96,143.28,167.92
167.92,174.57,167.76,174.53
174.53,174.61,168.80,169.02
169.02,174.26,168.83,174.16
174.16,178.33,173.96,178.21
178.21,178.23,178.05,178.21
178.21,180.25,178.15,180.04
180.04,180.08,175.52,175.63
175.63,175.88,172.52,172.70
172.70,172.86,163.45,163.51
163.51,163.56,156.39,156.53
156.53,161.50,156.49,161.30
161.30,161.39,157.42,157.63
157.63,168.84,157.58,168.65
168.65,171.33,168.56,171.23
171.23,179.86,171.08,179.68
179.68,188.29,179.53,188.13
188.13,195.27,187.92,195.11
195.11,195.28,182.48,182.62
182.62,189.84,182.48,189.60
189.60,189.66,181.29,181.51
181.51,181.62,175.26,175.27
175.27,180.61,175.17,180.41
180.41,180.58,171.38,171.59
171.59,171.66,168.65,168.65
168.65,168.80,167.90,167.92
167.92,170.28,167.90,170.12
170.12,171.47,169.94,171.23
171.23,171.37,168.60,168.65
168.65,178.57,168.60,178.57
178.57,178.64,175.75,176.00
176.00,176.02,172.91,173.06
173.06,173.26,170.80,170.86
170.86,171.03,168.64,168.65
168.65,169.83,168.62,169.76
169.76,169.99,167.46,167.55
167.55,167.56,155.62,155.79
155.79,155.86,151.56,151.75
151.75,152.51,151.67,152.49
152.49,153.04,152.28,152.85
152.85,152.93,146.36,146.61
146.61,155.24,146.42,155.06
155.06,159.84,155.05,159.83
159.83,165.17,159.68,164.98
164.98,165.16,164.02,164.24
164.24,166.30,164.03,166.08
166.08,167.33,165.92,167.18
167.18,167.22,159.99,160.20
160.20,160.23,151.73,151.75
151.75,151.88,147.18,147.34
147.34,152.59,147.28,152.49
152.49,156.65,152.46,156.53
156.53,156.71,152.63,152.85
152.85,152.90,151.57,151.75
151.75,153.76,151.58,153.59
153.59,153.72,152.68,152.85
152.85,152.94,150.57,150.65
150.65,153.98,150.42,153.96
153.96,157.45,153.72,157.26
157.26,157.29,153.82,153.96
153.96,154.08,149.68,149.91
149.91,150.04,146.97,146.97
146.97,152.66,146.85,152.49
152.49,155.19,152.34,155.06
155.06,155.09,152.74,152.85
152.85,152.92,152.44,152.49
152.49,152.55,149.39,149.55
149.55,149.70,148.94,149.18
149.18,149.18,147.30,147.34
147.34,147.42,144.90,145.14
145.14,145.39,143.43,143.67
