45.32,45.43,44.92,45.00
45.00,45.09,43.94,44.00
44.00,45.09,43.83,45.00
45.00,45.12,44.75,45.00
45.00,48.10,44.96,48.00
48.00,48.16,46.93,47.00
47.00,47.19,46.87,47.00
47.00,47.12,46.96,47.00
47.00,47.02,45.90,46.00
46.00,46.03,41.89,42.00
42.00,42.16,37.78,38.00
38.00,40.17,37.99,40.00
40.00,43.03,39.76,43.00
43.00,44.05,42.98,44.00
44.00,44.23,43.90,44.00
44.00,44.19,42.83,43.00
43.00,45.14,42.95,45.00
45.00,45.02,43.84,44.00
44.00,45.14,43.98,45.00
45.00,45.17,43.94,44.00
44.00,44.08,42.78,43.00
43.00,47.65,42.95,47.64
47.64,48.53,47.62,48.42
48.42,48.43,48.37,48.42
48.42,48.49,47.87,48.03
48.03,48.28,47.99,48.03
48.03,48.88,47.94,48.82
48.82,48.88,48.63,48.82
48.82,49.72,48.58,49.60
49.60,49.83,49.52,49.60
49.60,49.67,48.80,48.82
48.82,49.06,47.20,47.24
47.24,47.73,47.18,47.64
47.64,47.82,47.60,47.64
47.64,48.67,47.46,48.42
48.42,51.23,48.37,51.18
51.18,52.81,51.13,52.75
52.75,53.39,52.56,53.15
53.15,53.19,52.16,52.36
52.36,52.36,51.94,51.97
51.97,52.53,51.89,52.36
52.36,55.52,52.24,55.51
55.51,56.90,55.35,56.69
56.69,56.89,55.35,55.51
55.51,56.12,55.35,55.90
55.90,55.95,52.90,53.15
53.15,53.32,52.34,52.36
52.36,53.68,52.22,53.54
53.54,55.33,53.43,55.12
55.12,55.21,52.68,52.75
52.75,54.42,52.73,54.33
54.33,55.71,54.32,55.51
55.51,56.01,55.34,55.90
55.90,56.37,55.81,56.30
56.30,56.49,55.81,55.90
55.90,55.94,54.48,54.72
54.72,55.20,54.66,55.12
55.12,55.13,52.77,52.80
52.80,52.82,52.78,52.80
52.80,54.45,52.58,54.33
54.33,55.98,54.26,55.90
55.90,56.80,55.67,56.69
56.69,57.20,56.65,57.08
57.08,57.54,56.87,57.48
57.48,58.75,57.36,58.66
58.66,58.89,58.06,58.26
58.26,58.45,56.46,56.69
56.69,56.87,54.93,55.12
55.12,55.35,53.84,53.93
53.93,54.15,51.39,51.57
51.57,51.70,51.46,51.57
51.57,55.33,51.37,55.12
55.12,57.18,55.11,57.08
57.08,57.18,57.07,57.08
57.08,57.17,55.36,55.51
55.51,55.91,55.39,55.90
55.90,55.99,55.09,55.12
55.12,57.21,54.91,57.08
57.08,59.11,57.07,59.05
59.05,62.78,59.04,62.60
62.60,62.77,60.80,61.02
61.02,61.17,58.50,58.66
58.66,59.13,58.59,59.05
59.05,61.58,58.84,61.41
61.41,61.63,60.09,60.23
60.23,60.44,58.99,59.05
59.05,59.24,58.99,59.05
59.05,59.15,57.72,57.87
57.87,58.01,57.02,57.08
57.08,57.23,56.90,57.08
57.08,57.22,55.01,55.12
55.12,55.22,51.94,51.97
51.97,52.11,49.09,49.21
49.21,49.36,47.85,48.03
48.03,48.24,47.55,47.64
47.64,47.77,46.86,46.90
46.90,51.67,46.87,51.57
51.57,51.63,51.12,51.18
51.18,51.38,49.77,50.00
50.00,50.02,47.81,48.03
48.03,48.59,47.82,48.42
48.42,48.47,47.40,47.64
47.64,47.86,47.11,47.24
47.24,47.24,44.65,44.88
44.88,44.92,44.03,44.09
44.09,45.11,44.02,44.88
44.88,49.32,44.73,49.21
49.21,49.40,48.18,48.42
48.42,50.54,48.35,50.39
50.39,50.39,50.15,50.39
50.39,50.48,50.28,50.39
50.39,51.64,50.16,51.57
51.57,54.56,51.41,54.33
54.33,54.42,54.30,54.33
54.33,54.40,53.69,53.93
53.93,54.05,53.43,53.54
53.54,53.65,50.94,51.18
51.18,51.91,51.11,51.87
51.87,53.18,51.76,53.16
53.16,53.34,52.34,52.36
52.36,58.49,52.23,58.40
58.40,58.53,58.36,58.40
58.40,58.58,58.36,58.40
58.40,58.53,58.40,58.40
58.40,58.45,58.20,58.40
58.40,58.54,58.33,58.40
58.40,58.46,58.17,58.40
58.40,58.55,58.29,58.40
58.40,58.48,58.24,58.40
58.40,58.52,58.36,58.40
58.40,58.50,58.18,58.40
58.40,58.46,58.31,58.40
58.40,58.40,58.32,58.40
58.40,58.40,58.23,58.40
58.40,58.42,58.25,58.40
58.40,58.57,58.36,58.40
58.40,58.64,58.23,58.40
